CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
71040,Imaging Center (Radiology),MRI,"BRONCHOGRAPHY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
71041,Imaging Center (Radiology),MRI,"(CODE DELETED IN 1992. TO REPORT, SEE 31656,31708,31710,31715,71040) BRONCHOGRAPHY, UNILATERAL; COMPLETE PROCEDURE",,,,,
71045,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, CHEST; SINGLE VIEW",,,,,
71046,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, CHEST; 2 VIEWS",,,,,
71047,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, CHEST; 3 VIEWS",,,,,
71048,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, CHEST; 4 OR MORE VIEWS",,,,,
71060,Imaging Center (Radiology),Routine Radiology Imaging,"BRONCHOGRAPHY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
71061,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 31656,31708,31710,31715,71060) BRONCHOGRAPHY, BILATERAL; COMPLETE PROCEDURE",,,,,
71090,Imaging Center (Radiology),Routine Radiology Imaging,"INSERTION PACEMAKER, FLUOROSCOPY AND RADIOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
71100,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL; 2 VIEWS",,,,,
71101,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL; INCLUDING POSTEROANTERIOR CHEST, MINIMUM OF THREE VIEWS",,,,,
71110,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL; THREE VIEWS",,,,,
71111,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL; INCLUDING POSTEROANTERIOR CHEST, MINIMUM OF FOUR VIEWS",,,,,
71120,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; STERNUM, MINIMUM OF TWO VIEWS",,,,,
71130,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; STERNOCLAVICULAR JOINT OR JOINTS, MINIMUM OF THREE VIEWS",,,,,
71250,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, THORAX; WITHOUT CONTRAST MATERIAL",,,,,
71260,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, THORAX; WITH CONTRAST MATERIAL(S)",,,,,
71270,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, THORAX; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
71271,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, THORAX, LOW DOSE FOR LUNG CANCER SCREENING, WITHOUT CONTRAST MATERIAL(S)",,,,,
71275,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, CHEST (NONCORONARY), WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE POSTPROCESSING",,,,,
71550,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITHOUT CONTRAST MATERIAL(S)",,,,,
71551,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITH CONTRAST MATERIAL(S)",,,,,
71552,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
71555,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, CHEST (EXCLUDING MYOCARDIUM), WITH OR WITHOUT CONTRAST MATERIAL(S)",,,,,
72010,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE, SURVEY STUDY, ANTEROPOSTERIOR AND LATERAL",,,,,
72020,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, SINGLE VIEW, SPECIFY LEVEL",,,,,
72040,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; 2 OR 3 VIEWS",,,,,
72050,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; MINIMUM OF FOUR VIEWS",,,,,
72052,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; COMPLETE, INCLUDINGOBLIQUE AND FLEXION AND/OR EXTENSION STUDIES",,,,,
72069,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, THORACOLUMBAR, STANDING (SCOLIOSIS)",,,,,
72070,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, TWO VIEWS",,,,,
72072,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, 3 VIEWS",,,,,
72074,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, MINIMUM OF FOUR VIEWS",,,,,
72080,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE; THORACOLUMBAR, TWO VIEWS",,,,,
72081,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION); ONE VIEW",,,,,
72082,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION); 2 OR 3 VIEWS",,,,,
72083,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION); 4 OR 5 VIEWS",,,,,
72084,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION); MINIMUM OF 6 VIEWS",,,,,
72090,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE; SCOLIOSIS STUDY, INCLUDING SUPINE AND ERECT STUDIES",,,,,
72100,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; TWO OR THREE VIEWS",,,,,
72110,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; MINIMUM OF FOUR VIEWS",,,,,
72114,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; COMPLETE, INCLUDING BENDING VIEWS",,,,,
72120,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL, BENDING VIEWS ONLY, MINIMUM OF 4 VIEWS",,,,,
72125,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, CERVICAL SPINE; WITHOUT CONTRAST MATERIAL",,,,,
72126,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, CERVICAL SPINE; WITH CONTRASTMATERIAL",,,,,
72127,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, CERVICAL SPINE; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
72128,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, THORACIC SPINE; WITHOUT CONTRAST MATERIAL",,,,,
72129,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, THORACIC SPINE; WITH CONTRASTMATERIAL",,,,,
72130,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, THORACIC SPINE; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
72131,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, LUMBAR SPINE; WITHOUT CONTRAST MATERIAL",,,,,
72132,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, LUMBAR SPINE; WITH CONTRAST MATERIAL",,,,,
72133,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, LUMBAR SPINE; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
72140,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1987.) MAGNETIC RESONANCE (EG, PROTON) IMAGING; SPINAL CORD",,,,,
72141,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, CERVICAL; WITHOUT CONTRAST MATERIAL",,,,,
72142,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, CERVICAL; WITH CONTRAST MATERIAL(S)",,,,,
72143,Imaging Center (Radiology),MRI,"(CODE DELETED IN 1990. TO REPORT, USE 72146, 72147) MAGNETICRESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS; THORACIC",,,,,
72144,Imaging Center (Radiology),MRI,"(CODE DELETED IN 1990. TO REPORT, USE 72148, 72149) MAGNETICRESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS; LUMBAR",,,,,
72146,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, THORACIC; WITHOUT CONTRAST MATERIAL",,,,,
72147,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, THORACIC; WITH CONTRAST MATERIAL(S)",,,,,
72148,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, LUMBAR; WITHOUT CONTRAST MATERIAL",,,,,
72149,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, LUMBAR; WITH CONTRAST MATERIAL(S)",,,,,
72156,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES; CERVICAL",,,,,
72157,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES; THORACIC",,,,,
72158,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES; LUMBAR",,,,,
72159,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, SPINAL CANAL AND CONTENTS, WITH OR WITHOUT CONTRAST MATERIAL(S)",,,,,
72170,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, PELVIS; 1 OR 2 VIEWS",,,,,
72180,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1990. TO REPORT, USE 72170) RADIOLOGIC EXAMINATION, PELVIS; STEREO",,,,,
72190,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, PELVIS; COMPLETE, MINIMUM OF THREE VIEWS",,,,,
72191,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, PELVIS, WITH CONTRAST MATERIAL(S), INCLUDING NONCONTRAST IMAGES, IF PERFORMED, ANDIMAGE POSTPROCESSING",,,,,
72192,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, PELVIS; WITHOUT CONTRAST MATERIAL",,,,,
72193,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, PELVIS; WITH CONTRAST MATERIAL(S)",,,,,
72194,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, PELVIS; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
72195,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITHOUT CONTRAST MATERIAL(S)",,,,,
72196,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITH CONTRAST MATERIAL(S)",,,,,
72197,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
72198,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, PELVIS, WITH OR WITHOUT CONTRAST MATERIAL(S)",,,,,
72200,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS; LESS THAN 3 VIEWS",,,,,
72202,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS; THREE OR MORE VIEWS",,,,,
72220,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SACRUM AND COCCYX, MINIMUM OF 2 VIEWS",,,,,
72240,Imaging Center (Radiology),CT Scan,"MYELOGRAPHY, CERVICAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72241,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,72240) MYELOGRAPHY, CERVICAL; COMPLETE PROCEDURE",,,,,
72255,Imaging Center (Radiology),CT Scan,"MYELOGRAPHY, THORACIC, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72256,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,72255) MYELOGRAPHY, THORACIC; COMPLETE PROCEDURE",,,,,
72265,Imaging Center (Radiology),CT Scan,"MYELOGRAPHY, LUMBOSACRAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72266,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,72265) MYELOGRAPHY, LUMBOSACRAL; COMPLETE PROCEDURE",,,,,
72270,Imaging Center (Radiology),CT Scan,"MYELOGRAPHY, ENTIRE SPINAL CANAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72271,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,72270) MYELOGRAPHY, ENTIRE SPINAL CANAL; COMPLETE PROCEDURE",,,,,
72275,Imaging Center (Radiology),CT Scan,"EPIDUROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72285,Imaging Center (Radiology),Routine Radiology Imaging,"DISKOGRAPHY, CERVICAL OR THORACIC, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72286,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 62291,72285) DISKOGRAPHY, CERVICAL; COMPLETE PROCEDURE",,,,,
72291,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
72292,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS VERTEBROPLASTY OR VERTEBRAL AUGMENTATION INCLUDING CAVITY CREATION, PER VERTEBRAL BODY; UNDER CT GUIDANCE",,,,,
72295,Imaging Center (Radiology),Routine Radiology Imaging,"DISKOGRAPHY, LUMBAR, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
72296,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 62290,72295) DISKOGRAPHY, LUMBAR; COMPLETE PROCEDURE",,,,,
73000,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; CLAVICLE, COMPLETE",,,,,
73010,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; SCAPULA, COMPLETE",,,,,
73020,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SHOULDER; 1 VIEW",,,,,
73030,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SHOULDER; COMPLETE, MINIMUM OF TWO VIEWS",,,,,
73040,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SHOULDER, ARTHROGRAPHY, RADIOLOGICALSUPERVISION AND INTERPRETATION",,,,,
73041,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 23350,73040) RADIOLOGIC EXAMINATION, SHOULDER, ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
73050,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; ACROMIOCLAVICULAR JOINTS, BILATERAL,WITH OR WITHOUT WEIGHTED DISTRACTION",,,,,
73060,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; HUMERUS, MINIMUM OF TWO VIEWS",,,,,
73070,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ELBOW; 2 VIEWS",,,,,
73080,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ELBOW; COMPLETE, MINIMUM OF THREE VIEWS",,,,,
73085,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ELBOW, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
73086,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 24220,73085) RADIOLOGIC EXAMINATION, ELBOW, ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
73090,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; FOREARM, TWO VIEWS",,,,,
73092,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; UPPER EXTREMITY, INFANT, MINIMUM OF 2 VIEWS",,,,,
73100,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, WRIST; TWO VIEWS",,,,,
73110,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, WRIST; COMPLETE, MINIMUM OF THREE VIEWS",,,,,
73115,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, WRIST, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
73116,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 25246, 73115) RADIOLOGIC EXAMINATION, WRIST, ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
73120,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HAND; 2 VIEWS",,,,,
73130,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HAND; MINIMUM OF THREE VIEWS",,,,,
73140,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FINGER(S), MINIMUM OF TWO VIEWS",,,,,
73200,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, UPPER EXTREMITY; WITHOUT CONTRAST MATERIAL",,,,,
73201,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, UPPER EXTREMITY; WITH CONTRAST MATERIAL(S)",,,,,
73202,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, UPPER EXTREMITY; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
73206,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, UPPER EXTREMITY, WITH CONTRAST MATERIAL(S), INCLUDING NONCONTRAST IMAGES, IF PERFORMED, AND IMAGE POSTPROCESSING",,,,,
73218,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, UPPER EXTREMITY, OTHER THAN JOINT; WITHOUT CONTRAST MATERIAL(S)",,,,,
73219,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, UPPER EXTREMITY, OTHER THAN JOINT; WITH CONTRAST MATERIAL(S)",,,,,
73220,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, UPPER EXTREMITY, OTHER THAN JOINT; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
73221,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF UPPER EXTREMITY; WITHOUT CONTRAST MATERIAL(S)",,,,,
73222,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF UPPER EXTREMITY; WITH CONTRAST MATERIALS",,,,,
73223,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF UPPER EXTREMITY; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
73225,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, UPPER EXTREMITY, WITH OR WITHOUT CONTRAST MATERIAL(S)",,,,,
73500,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, HIP; UNILATERAL, ONE VIEW",,,,,
73501,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, UNILATERAL, WITH PELVIS WHEN PERFORMED; 1 VIEW",,,,,
73502,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, UNILATERAL, WITH PELVIS WHEN PERFORMED; 2-3 VIEWS",,,,,
73503,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, UNILATERAL, WITH PELVIS WHEN PERFORMED; MINIMUM OF 4 VIEWS",,,,,
73510,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, UNILATERAL; COMPLETE, MINIMUM OF TWO VIEWS",,,,,
73520,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIPS, BILATERAL, MINIMUM OF 2 VIEWS OF EACH HIP, INCLUDING ANTEROPOSTERIOR VIEW OF PELVIS",,,,,
73521,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIPS, BILATERAL, WITH PELVIS WHEN PERFORMED; 2 VIEWS",,,,,
73522,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIPS, BILATERAL, WITH PELVIS WHEN PERFORMED; 3-4 VIEWS",,,,,
73523,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIPS, BILATERAL, WITH PELVIS WHEN PERFORMED; MINIMUM OF 5 VIEWS",,,,,
73525,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
73526,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 27093,27095,73525) RADIOLOGIC EXAMINATION, HIP, ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
73530,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, HIP, DURING OPERATIVE PROCEDURE",,,,,
73540,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, PELVIS AND HIPS, INFANT OR CHILD, MINIMUM OF 2 VIEWS",,,,,
73542,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGICAL EXAMINATION, SACROILIAC JOINT ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
73550,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FEMUR, TWO VIEWS",,,,,
73551,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FEMUR; 1 VIEW",,,,,
73552,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FEMUR; MINIMUM 2 VIEWS",,,,,
73560,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, KNEE; 1 OR 2 VIEWS",,,,,
73562,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, KNEE; THREE VIEWS",,,,,
73564,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, KNEE; COMPLETE, FOUR OR MORE VIEWS",,,,,
73565,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, KNEE; BOTH KNEES, STANDING, ANTEROPOSTERIOR",,,,,
73580,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, KNEE, ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
73581,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT SEE 27370,73580) RADIOLOGICEXAMINATION, KNEE, ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
73590,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; TIBIA AND FIBULA, TWO VIEWS",,,,,
73592,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; LOWER EXTREMITY, INFANT, MINIMUM OF 2 VIEWS",,,,,
73600,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ANKLE; 2 VIEWS",,,,,
73610,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ANKLE; COMPLETE, MINIMUM OF 3 VIEWS",,,,,
